"","date","location","sample","Position","water_temp_Mean","water_temp_SD","salinity_Mean","salinity_SD","conductivity_Mean","conductivity_SD","ec25_Mean","ec25_SD","density_Mean","density_SD","sT_Mean","sT_SD","chl_f_Mean","chl_f_SD","chl_a_Mean","chl_a_SD","tur_range_Mean","tur_range_SD","do_Mean","do_SD"
"1","2020/09/17","R1","R1C","C",31.1222990654206,0.0073410386305295,28.4604033613445,0.0111600979035033,49.5381157024793,0.0121916570398532,43657.7701949153,15.0086399756591,1016.45074576271,0.0108519063201236,16.4521779661017,0.0108491059586217,0.643247863247863,0.0226605026205427,0.643247863247863,0.0226605026205427,2.98426086956522,0.191710037211561,93.4398449612403,0.358373026015064
"2","2020/09/17","R1","R1N","N",30.5240305343511,0.0178441711798808,34.1739398496241,0.0200116478954725,57.6806740740741,0.0374267103976361,51432.1410827068,26.9896300192581,1020.92609090909,0.0164184101402613,20.9275378787879,0.0164490447542923,0.74568345323741,0.0520319071522636,0.74568345323741,0.0520319071522636,3.38794117647059,0.316988415834744,92.873288590604,0.234303000156762
"3","2020/09/17","R1","R1S","S",29.6669496402878,0.0100911237657247,33.5193026315789,0.0503008221429899,55.8206118421053,0.0708619635070952,50619.5853026316,68.2883264992395,1020.72682236842,0.0419084625277443,20.7282039473684,0.0419604573892502,0.671333333333333,0.0438372013672594,0.671333333333333,0.0438372013672594,1.63786206896552,0.169833195154084,94.7117901234568,0.128628234688155
"4","2020/09/17","R2","R2C","C",29.370106557377,0.021808258113263,28.7171451612903,0.0170835791210019,48.358,0.038310031800892,44118.395016129,23.2861457746958,1017.23272357724,0.012903361369789,17.2337950819672,0.012483998700214,0.26635593220339,0.0185207323994152,0.26635593220339,0.0185207323994152,1.30491379310345,0.130793535870422,102.739745762712,0.92825768403679
"5","2020/09/17","R2","R2N","N",31.1030924369748,0.00895846498337086,33.1607657657658,0.0110831198060624,56.7531428571429,0.0168549573828511,50034.8010353982,15.8916632529503,1019.96753389831,0.0117194280973842,19.9685254237288,0.0117245537260627,0.333418803418803,0.0361548964863013,0.333418803418803,0.0361548964863013,0.960818181818182,0.163225131959162,99.0342857142857,0.433213399930028
"6","2020/09/17","R2","R2S","S",29.7676115702479,0.0102983590123432,34.1248625954198,0.0157908266255976,56.8147734375,0.0320833596439542,51423.9809160305,20.7635475070499,1021.14941538462,0.010395127522426,21.1502923076923,0.0103866686722039,0.314666666666667,0.0395647966547076,0.314666666666667,0.0395647966547076,0.864380165289256,0.104585631278739,122.834892086331,8.6063332230539
"7","2020/09/17","U1","U1C","C",28.7754254143646,0.031970667380335,30.3787932960894,0.0297282969609488,50.2948715083799,0.0486316148091751,46436.7412905028,40.9751830629066,1018.67051955307,0.0257521332774293,18.6721284916201,0.0257481366940916,0.406460674157303,0.0223821741923532,0.406460674157303,0.0223821741923532,0.962619047619048,0.0731927002613145,87.86004784689,3.23047009225135
"8","2020/09/17","U1","U1N","N",28.824009569378,0.0382485533198797,27.7958835978836,0.0383693860093051,46.4940423280423,0.0807038736374118,42884.4946772487,51.6937093463576,1016.72091005291,0.024523921333067,16.7223968253968,0.024544926036222,0.370702702702703,0.0286478476929473,0.370702702702703,0.0286478476929473,1.04962365591398,0.0901852045129828,86.725980861244,0.490979319258601
"9","2020/09/17","U1","U1S","S",28.8484693877551,0.0058523790150721,33.8152441860465,0.00781352261089187,55.4068342541436,0.0158140281649462,51082.9729415205,10.3612261451942,1021.22276111111,0.00765116844977683,21.2246494252874,0.0066747799610976,0.244568527918782,0.0301262924079697,0.244568527918782,0.0301262924079697,0.479202127659574,0.107494069458324,87.6509137055838,1.01512197802549
"10","2020/09/17","U2","U2C","C",30.637013986014,0.0102654802471208,19.3264895104895,0.00612644594357399,34.6472328767123,0.00687528416555327,30824.3774965035,9.18510336902288,1009.81460839161,0.00743803980409733,9.81597202797203,0.00745214219692262,0.979530201342282,0.0599699876567753,0.979530201342282,0.0599699876567753,10.0088571428571,0.897154643450704,95.2910067114094,0.370765725125213
"11","2020/09/17","U2","U2N","N",30.6670325203252,0.0263183333717155,27.776125,0.00736167968136995,48.0695161290323,0.029371044828618,42742.4038666667,9.90227610193128,1016.09566393443,0.00941829646800303,16.0967540983607,0.00937670004456688,0.939444444444444,0.0382058750572329,0.939444444444444,0.0382058750572329,2.50578512396694,0.114242082629503,97.4987903225806,1.20977293625868
"12","2020/09/17","U2","U2S","S",29.9742028985507,0.058857759929731,33.9825338345865,0.0208811749612015,56.819562962963,0.0725113071375569,51217.034924812,28.1690513834384,1020.97026666667,0.0250977789348477,20.9716296296296,0.0251490306453175,0.664031007751938,0.0749324631318613,0.664031007751938,0.0749324631318613,1.7651968503937,0.266612644509265,100.493082706767,1.57647150136719
"13","2020/10/01","R1","R1C","C",25.0446571428571,0.0139593011254895,34.162,0.00599037689837748,51.9853365384615,0.00868612393800992,51933.9651714286,9.46952894760638,1022.69280769231,0.00800858389367815,22.6944952380952,0.00832526715848053,0.399174311926606,0.042078595781012,0.399174311926606,0.042078595781012,7.77537735849057,0.633971870381376,88.7187394957983,1.66953792177369
"14","2020/10/01","R1","R1N","N",25.1285428571429,0.0343919793230666,34.3171037735849,0.018872973493374,52.2796355140187,0.0185509967811143,52133.8084245283,29.2807889237807,1022.78428571429,0.0236206861286133,22.7858285714286,0.0235500519119374,0.408504672897196,0.0361026769069113,0.408504672897196,0.0361026769069113,9.79,0.675231348307655,91.4750420168067,1.69456302749465
