sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
R1C-01-04-2021	198254	118198	59.62	113201	104936	52.93	97981	49.42
R1C-04-02-2021	193144	117989	61.09	114318	108864	56.36	105539	54.64
R1C-04-03-2021	141697	86162	60.81	82787	77964	55.02	74971	52.91
R1C-06-01-2021	219017	128921	58.86	120479	107435	49.05	98604	45.02
R1C-18-02-2021	167026	94679	56.69	82766	67094	40.17	63269	37.88
R1C-18-03-2021	226182	134870	59.63	129135	121851	53.87	116786	51.63
R1C-21-01-2021	154740	96150	62.14	91868	84001	54.29	76022	49.13
R1C-26-11-2020	120131	73638	61.3	71137	68180	56.75	65778	54.76
R1N-01-04-2021	212580	127361	59.91	121795	113449	53.37	105846	49.79
R1N-04-02-2021	195143	114052	58.45	110771	105652	54.14	101800	52.17
R1N-04-03-2021	136971	82787	60.44	79590	74625	54.48	71129	51.93
R1N-15-10-2020	222142	134058	60.35	129618	125125	56.33	120428	54.21
R1N-18-02-2021	160693	94161	58.6	83169	66135	41.16	64212	39.96
R1N-18-03-2021	207016	124197	59.99	119757	113168	54.67	109295	52.8
R1N-21-01-2021	143336	69642	48.59	66307	58714	40.96	52001	36.28
R1N-26-11-2020	145798	88477	60.68	85450	81891	56.17	79364	54.43
R1S-01-04-2021	189256	113242	59.84	108697	101384	53.57	93655	49.49
R1S-04-02-2021	181846	114111	62.75	110575	106487	58.56	103077	56.68
R1S-04-03-2021	127702	77448	60.65	74643	71384	55.9	69464	54.4
R1S-10-12-2020	182546	105488	57.79	99973	94975	52.03	92520	50.68
R1S-12-11-2020	222689	133838	60.1	128443	121175	54.41	114033	51.21
R1S-18-02-2021	123146	72643	58.99	64147	52166	42.36	48747	39.58
R1S-18-03-2021	200170	118797	59.35	113172	105260	52.59	102501	51.21
R1S-21-01-2021	145720	25264	17.34	23824	21303	14.62	20003	13.73
R1S-26-11-2020	139022	84642	60.88	80959	76841	55.27	74411	53.52
R2C-01-04-2021	152855	90856	59.44	84029	73673	48.2	70059	45.83
R2C-01-10-2020	171506	98056	57.17	94531	89703	52.3	81542	47.54
R2C-04-02-2021	196196	113960	58.08	107513	98210	50.06	91121	46.44
