sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
R2C-04-03-2021	186872	110425	59.09	102507	91447	48.94	84499	45.22
R2C-10-12-2020	185387	108344	58.44	99993	88956	47.98	82120	44.3
R2C-18-02-2021	114156	65658	57.52	61433	56476	49.47	53853	47.17
R2C-18-03-2021	191251	115599	60.44	110894	104985	54.89	97665	51.07
R2C-21-01-2021	154103	95564	62.01	89713	80620	52.32	73866	47.93
R2C-24-12-2020	223922	126903	56.67	120237	108645	48.52	105045	46.91
R2C-26-11-2020	164064	98184	59.84	91476	82922	50.54	75234	45.86
R2C-29-10-2020	216406	132722	61.33	129050	124291	57.43	118988	54.98
R2N-01-04-2021	163567	95026	58.1	89502	81347	49.73	78737	48.14
R2N-01-10-2020	184618	110723	59.97	107036	100807	54.6	91743	49.69
R2N-04-02-2021	204530	120137	58.74	113804	104034	50.86	96319	47.09
R2N-04-03-2021	161698	93861	58.05	86637	77030	47.64	72548	44.87
R2N-12-11-2020	154743	92855	60.01	85738	74826	48.36	68335	44.16
R2N-17-09-2020	188826	111636	59.12	105561	95619	50.64	94599	50.1
R2N-18-02-2021	112112	67577	60.28	63982	59355	52.94	55830	49.8
R2N-18-03-2021	178755	110413	61.77	105844	99963	55.92	93570	52.35
R2N-21-01-2021	173960	107239	61.65	100275	89824	51.63	81022	46.58
R2S-01-04-2021	146552	84320	57.54	78952	71681	48.91	68684	46.87
R2S-04-02-2021	190740	112388	58.92	103986	91589	48.02	85850	45.01
R2S-04-03-2021	148776	89815	60.37	83797	75385	50.67	69684	46.84
R2S-17-09-2020	165532	92483	55.87	87854	81265	49.09	80274	48.49
R2S-18-02-2021	243255	141062	57.99	132576	120877	49.69	115921	47.65
R2S-18-03-2021	230343	138395	60.08	132414	123681	53.69	116906	50.75
R2S-24-12-2020	200678	118464	59.03	110155	99816	49.74	95662	47.67
U1C-01-04-2021	137552	75472	54.87	71364	66819	48.58	64857	47.15
U1C-04-02-2021	188260	112682	59.85	105382	96211	51.11	93805	49.83
U1C-04-03-2021	176597	100335	56.82	94041	84184	47.67	82778	46.87
U1C-06-01-2021	215621	120523	55.9	109987	95128	44.12	92637	42.96
U1C-10-12-2020	152871	79016	51.69	66960	52435	34.3	50405	32.97
U1C-15-04-2021	164924	92198	55.9	86023	77647	47.08	76590	46.44
U1C-18-02-2021	226701	127243	56.13	122020	113415	50.03	110850	48.9
U1C-18-03-2021	179316	95836	53.45	88824	77602	43.28	76921	42.9
U1C-21-01-2021	127082	72872	57.34	67312	61104	48.08	59629	46.92
U1N-01-04-2021	162468	90375	55.63	84280	74915	46.11	73774	45.41
U1N-04-02-2021	165300	82584	49.96	77414	69111	41.81	68445	41.41
U1N-04-03-2021	103212	56586	54.83	52377	46470	45.02	45177	43.77
U1N-15-04-2021	185026	103929	56.17	96580	86855	46.94	85186	46.04
U1N-18-02-2021	162272	90131	55.54	81418	70277	43.31	68758	42.37
U1N-18-03-2021	161750	77349	47.82	71499	63873	39.49	62848	38.86
U1N-21-01-2021	178995	104445	58.35	95671	84504	47.21	81249	45.39
U1S-04-02-2021	153534	86433	56.3	81302	72344	47.12	70954	46.21
U1S-04-03-2021	137439	80681	58.7	75896	68058	49.52	64613	47.01
U1S-06-01-2021	192028	112309	58.49	104744	91033	47.41	85119	44.33
U1S-15-04-2021	173997	102296	58.79	96493	86162	49.52	83195	47.81
U1S-18-02-2021	230419	136735	59.34	129606	118949	51.62	113860	49.41
U1S-18-03-2021	197463	115473	58.48	110005	100713	51	98305	49.78
U1S-21-01-2021	149469	89997	60.21	82631	72052	48.21	69315	46.37
U1S-29-10-2020	209486	125519	59.92	118107	105143	50.19	101325	48.37
U2C-01-04-2021	164678	89729	54.49	84939	78703	47.79	76790	46.63
U2C-04-02-2021	197283	119288	60.47	112997	104209	52.82	97901	49.62
U2C-04-03-2021	160620	95375	59.38	90240	83743	52.14	81139	50.52
U2C-18-02-2021	186526	113484	60.84	105872	95412	51.15	89482	47.97
U2C-18-03-2021	216908	124644	57.46	119890	111762	51.53	108738	50.13
U2C-21-01-2021	157845	97901	62.02	93579	87682	55.55	83776	53.07
U2C-24-12-2020	177327	97157	54.79	88429	77155	43.51	75289	42.46
U2N-01-04-2021	153100	86036	56.2	82136	76508	49.97	74394	48.59
U2N-04-02-2021	178036	102597	57.63	98053	91814	51.57	88808	49.88
U2N-04-03-2021	130483	70501	54.03	66888	61946	47.47	60028	46
U2N-12-11-2020	139968	81012	57.88	76018	69653	49.76	66339	47.4
U2N-18-02-2021	187203	112178	59.92	107998	101534	54.24	94076	50.25
U2N-18-03-2021	229946	122301	53.19	118558	112437	48.9	109360	47.56
U2N-21-01-2021	169051	94127	55.68	90156	84352	49.9	82339	48.71
U2S-01-04-2021	220188	129573	58.85	126009	119679	54.35	113739	51.66
U2S-04-03-2021	157705	90180	57.18	87423	82572	52.36	77901	49.4
U2S-18-02-2021	199559	122500	61.39	118385	111309	55.78	101295	50.76
U2S-18-03-2021	217817	128670	59.07	125067	117743	54.06	111129	51.02
U2S-21-01-2021	193321	121241	62.71	118391	111509	57.68	101259	52.38
U2S-26-11-2020	148869	89033	59.81	85142	78899	53	73144	49.13
