sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
R1C-2020-09-17-1	226435	174375	77.01	166798	157074	69.37	145009	64.04
R1C-2020-10-01-49	196351	153567	78.21	143454	133838	68.16	123946	63.12
R1C-2020-10-15-51	142819	109765	76.86	103577	98237	68.78	91668	64.18
R1C-2020-10-29-66	156328	121995	78.04	117906	111529	71.34	101865	65.16
R1C-2020-11-12-15	93839	70738	75.38	66401	61426	65.46	56441	60.15
R1C-2020-12-10-20	198112	155091	78.28	142534	132028	66.64	126060	63.63
R1C-2020-12-24-36	188280	144136	76.55	135859	125235	66.52	113149	60.1
R1N-2020-09-17-37	172267	132148	76.71	125274	117931	68.46	111444	64.69
R1N-2020-10-01-38	233043	182491	78.31	170806	158584	68.05	147915	63.47
R1N-2020-10-29-67	86354	66006	76.44	63310	59633	69.06	55620	64.41
R1N-2020-11-12-57	97223	75125	77.27	69716	64806	66.66	61074	62.82
R1N-2020-12-10-21	159440	126042	79.05	116279	108163	67.84	103543	64.94
R1N-2020-12-24-23	184123	141658	76.94	132439	120876	65.65	109817	59.64
R1N-2021-01-06-45	198718	152207	76.59	139931	125910	63.36	112896	56.81
R1S-2020-09-17-25	126479	98774	78.1	93959	88487	69.96	83134	65.73
R1S-2020-10-01-2	161966	123232	76.09	114163	105604	65.2	98882	61.05
R1S-2020-10-15-52	157466	119251	75.73	112487	105965	67.29	98953	62.84
R1S-2020-10-29-54	255604	194311	76.02	184529	171616	67.14	156656	61.29
R1S-2020-12-24-60	129523	97888	75.58	92077	84733	65.42	76840	59.33
R1S-2021-01-06-9	92314	69822	75.64	65091	59464	64.41	54540	59.08
R2C-2020-09-17-61	175596	132900	75.69	122311	110106	62.7	106498	60.65
R2C-2020-10-15-53	124748	96060	77	90810	85494	68.53	79629	63.83
R2C-2020-11-12-58	110993	83744	75.45	76026	66596	60	59492	53.6
R2C-2021-01-06-46	194563	146609	75.35	132952	120665	62.02	113268	58.22
R2N-2020-10-15-88	198891	154597	77.73	142653	130568	65.65	119223	59.94
R2N-2020-11-26-32	206372	158722	76.91	148449	135652	65.73	120291	58.29
R2N-2021-01-06-10	118327	91167	77.05	83770	77022	65.09	71910	60.77
R2S-2020-10-01-27	116572	90636	77.75	83406	76682	65.78	69208	59.37
R2S-2020-10-15-89	136602	103035	75.43	92237	81623	59.75	75725	55.43
R2S-2020-10-29-92	178525	141579	79.3	135902	128341	71.89	116489	65.25
R2S-2020-11-12-41	186301	143086	76.8	125878	106840	57.35	97540	52.36
R2S-2020-11-26-18	81886	62089	75.82	54106	47422	57.91	42435	51.82
R2S-2020-12-10-70	176615	134303	76.04	118823	102073	57.79	94263	53.37
R2S-2021-01-06-11	132945	101873	76.63	93330	84635	63.66	78266	58.87
U1C-2020-09-17-85	188114	140392	74.63	132384	122947	65.36	115368	61.33
