sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
U1C-2020-10-01-3	218004	166828	76.53	156751	146804	67.34	135287	62.06
U1C-2020-10-15-29	109414	78658	71.89	71867	65995	60.32	61604	56.3
U1C-2020-10-29-55	284596	211450	74.3	193971	176157	61.9	165018	57.98
U1C-2020-11-12-31	109127	48654	44.58	43144	37281	34.16	35492	32.52
U1C-2020-11-26-59	125709	94835	75.44	85373	77272	61.47	73757	58.67
U1C-2020-12-24-8	156573	118481	75.67	108428	96606	61.7	92285	58.94
U1N-2020-09-17-13	89974	67335	74.84	61174	54937	61.06	52734	58.61
U1N-2020-10-01-87	157464	115202	73.16	107396	99402	63.13	97984	62.23
U1N-2020-10-15-39	263796	199678	75.69	185610	169820	64.38	157771	59.81
U1N-2020-10-29-68	146262	108968	74.5	99092	90152	61.64	86964	59.46
U1N-2020-11-12-7	88597	64567	72.88	55401	48182	54.38	45586	51.45
U1N-2020-11-26-93	177263	133247	75.17	120825	109373	61.7	105333	59.42
U1N-2020-12-10-34	85947	64626	75.19	53762	44213	51.44	42023	48.89
U1N-2020-12-24-96	168858	130477	77.27	117210	104238	61.73	99325	58.82
U1N-2021-01-06-47	241512	177904	73.66	161822	144826	59.97	141033	58.4
U1S-2020-09-17-62	264038	200234	75.84	189669	174857	66.22	162807	61.66
U1S-2020-10-01-65	173090	130125	75.18	122971	113881	65.79	106943	61.78
U1S-2020-10-15-30	130261	101113	77.62	93090	84347	64.75	78089	59.95
U1S-2020-11-12-69	133829	100922	75.41	92491	82835	61.9	77920	58.22
U1S-2020-11-26-19	217473	168449	77.46	157796	145469	66.89	135456	62.29
U1S-2020-12-10-35	113848	87042	76.45	74954	64192	56.38	58038	50.98
U1S-2020-12-24-24	115029	86124	74.87	75798	64877	56.4	61504	53.47
U2C-2020-09-17-26	95351	71457	74.94	61933	52392	54.95	51098	53.59
U2C-2020-10-01-28	122109	92934	76.11	87042	80342	65.8	76564	62.7
U2C-2020-10-15-90	170393	129525	76.02	110712	93573	54.92	89338	52.43
U2C-2020-10-29-40	141316	106074	75.06	93599	82175	58.15	78503	55.55
U2C-2020-11-12-42	119163	87984	73.83	74401	63207	53.04	60293	50.6
U2C-2020-11-26-33	157500	125259	79.53	116062	107361	68.17	100989	64.12
U2C-2020-12-10-22	107431	80265	74.71	70446	61446	57.2	56212	52.32
U2C-2021-01-06-12	145161	109562	75.48	97941	85066	58.6	78344	53.97
U2N-2020-10-01-14	131203	101376	77.27	95280	87675	66.82	78597	59.9
U2N-2020-10-15-91	172588	132900	77	125906	116726	67.63	107789	62.45
U2N-2020-10-29-6	226229	174887	77.31	167485	156867	69.34	144847	64.03
U2N-2020-11-26-94	187179	145001	77.47	137114	127205	67.96	116097	62.02
U2N-2020-12-10-71	188892	142101	75.23	130040	117143	62.02	106301	56.28
U2N-2020-12-24-43	149631	114278	76.37	107255	98578	65.88	90483	60.47
U2N-2021-01-06-48	278542	207821	74.61	192681	173559	62.31	155007	55.65
U2S-2020-09-17-63	203622	157978	77.58	149606	137392	67.47	129828	63.76
U2S-2020-10-01-50	126173	96565	76.53	91079	84287	66.8	73608	58.34
U2S-2020-10-15-4	154280	117037	75.86	110781	102283	66.3	93784	60.79
U2S-2020-10-29-56	240524	182689	75.95	174655	162697	67.64	142162	59.11
U2S-2020-11-12-17	83603	65069	77.83	60347	55370	66.23	50772	60.73
U2S-2020-12-10-95	83740	62139	74.2	57026	51436	61.42	46612	55.66
U2S-2020-12-24-44	197145	149624	75.9	140905	130495	66.19	118132	59.92
U2S-2021-01-06-72	292649	223720	76.45	215532	201381	68.81	175772	60.06
