sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
R1C-06-08-2021	124948	26688	21.36	24948	13041	10.44	12934	10.35
R1C-08-07-2021	113691	22278	19.6	21272	10524	9.26	10446	9.19
R1C-10-06-2021	88831	17798	20.04	16747	7772	8.75	7703	8.67
R1C-13-05-2021	89086	18223	20.46	16971	8735	9.81	8630	9.69
R1C-15-04-2021	137160	30011	21.88	27030	13570	9.89	13328	9.72
R1C-24-06-2021	109978	20950	19.05	18938	8541	7.77	8499	7.73
R1C-27-05-2021	107735	23862	22.15	22570	11880	11.03	11709	10.87
R1C-28-07-2021	126284	28250	22.37	26769	13309	10.54	13221	10.47
R1N-06-08-2021	139784	31960	22.86	30560	15849	11.34	15657	11.2
R1N-08-07-2021	121925	24022	19.7	22618	11150	9.14	11031	9.05
R1N-10-06-2021	96452	21793	22.59	20714	10216	10.59	10036	10.41
R1N-13-05-2021	115823	21864	18.88	20426	9849	8.5	9747	8.42
R1N-15-04-2021	156945	32703	20.84	30705	14440	9.2	14196	9.05
R1N-24-06-2021	132171	24844	18.8	23509	10545	7.98	10439	7.9
R1N-27-05-2021	145247	26113	17.98	24663	10107	6.96	10022	6.9
R1N-28-07-2021	155375	28878	18.59	26627	11368	7.32	11291	7.27
R1S-06-08-2021	113191	23139	20.44	21778	10703	9.46	10655	9.41
R1S-08-07-2021	140597	21660	15.41	19599	7867	5.6	7849	5.58
R1S-10-06-2021	133622	25805	19.31	24992	11827	8.85	11623	8.7
R1S-13-05-2021	139901	28957	20.7	27286	13549	9.68	13391	9.57
R1S-15-04-2021	156766	35600	22.71	33543	17739	11.32	17167	10.95
R1S-24-06-2021	141086	30981	21.96	29220	15319	10.86	15008	10.64
R1S-27-05-2021	105407	22219	21.08	21092	11073	10.5	10941	10.38
R1S-28-07-2021	106196	22365	21.06	21114	10290	9.69	10177	9.58
R2C-06-08-2021	211020	44984	21.32	41624	20483	9.71	19866	9.41
R2C-08-07-2021	147985	27279	18.43	25863	13494	9.12	13250	8.95
R2C-10-06-2021	148417	28047	18.9	26888	13979	9.42	13554	9.13
R2C-13-05-2021	95368	16677	17.49	14229	5935	6.22	5852	6.14
R2C-15-04-2021	151706	30503	20.11	28193	13417	8.84	12332	8.13
R2C-24-06-2021	128064	30950	24.17	29795	16691	13.03	16181	12.64
R2C-27-05-2021	111266	21899	19.68	20951	10152	9.12	9979	8.97
R2C-28-07-2021	113332	25453	22.46	24202	12866	11.35	12756	11.26
R2N-06-08-2021	128295	20294	15.82	18658	8509	6.63	8414	6.56
R2N-08-07-2021	131662	23115	17.56	22486	10986	8.34	10731	8.15
R2N-10-06-2021	97712	16713	17.1	15930	7401	7.57	7355	7.53
R2N-13-05-2021	91879	16045	17.46	14569	6397	6.96	6296	6.85
R2N-15-04-2021	86929	17656	20.31	16131	7379	8.49	6774	7.79
R2N-24-06-2021	142751	29085	20.37	27167	13926	9.76	13826	9.69
R2N-27-05-2021	119813	26570	22.18	24642	12829	10.71	12675	10.58
R2N-28-07-2021	160635	39419	24.54	37626	20856	12.98	20597	12.82
R2S-06-08-2021	192320	31429	16.34	28236	11235	5.84	11090	5.77
R2S-08-07-2021	111392	20432	18.34	19438	9042	8.12	8802	7.9
R2S-10-06-2021	152437	26571	17.43	25299	11550	7.58	11406	7.48
R2S-13-05-2021	134154	25061	18.68	23205	10306	7.68	10111	7.54
R2S-15-04-2021	160489	32816	20.45	29550	13538	8.44	12581	7.84
R2S-24-06-2021	86962	21291	24.48	20115	10786	12.4	10568	12.15
R2S-27-05-2021	108019	20722	19.18	19613	8926	8.26	8906	8.24
R2S-28-07-2021	122828	28637	23.31	27514	14292	11.64	14130	11.5
U1C-06-08-2021	128656	17438	13.55	13750	3717	2.89	3698	2.87
U1C-08-07-2021	103031	17282	16.77	15792	5912	5.74	5903	5.73
U1C-10-06-2021	138250	17035	12.32	13191	2980	2.16	2907	2.1
U1C-13-05-2021	154227	26143	16.95	25076	9993	6.48	9757	6.33
U1C-19-08-2021	163993	32773	19.98	28820	13922	8.49	13675	8.34
U1C-24-06-2021	148426	19721	13.29	15233	5167	3.48	5167	3.48
U1C-27-05-2021	113431	18615	16.41	17295	8095	7.14	7999	7.05
U1C-28-07-2021	109722	15485	14.11	12982	4410	4.02	4405	4.01
U1N-06-08-2021	91584	12866	14.05	10903	4485	4.9	4420	4.83
U1N-08-07-2021	131170	21118	16.1	18644	7109	5.42	7095	5.41
U1N-10-06-2021	88721	15034	16.95	13768	5493	6.19	5467	6.16
U1N-13-05-2021	125332	17331	13.83	15167	5209	4.16	5185	4.14
U1N-19-08-2021	169135	27635	16.34	22301	8306	4.91	8184	4.84
U1N-24-06-2021	130828	18439	14.09	15906	5491	4.2	5464	4.18
U1N-27-05-2021	124512	20496	16.46	18322	8301	6.67	8265	6.64
U1N-28-07-2021	185973	26404	14.2	24278	9211	4.95	9119	4.9
U1S-06-08-2021	157925	31036	19.65	27099	12397	7.85	11966	7.58
U1S-08-07-2021	120200	22409	18.64	20650	8813	7.33	8505	7.08
U1S-10-06-2021	125409	28661	22.85	27440	13622	10.86	13418	10.7
U1S-13-05-2021	118525	25396	21.43	23144	9873	8.33	9484	8
U1S-19-08-2021	179491	36619	20.4	31627	15083	8.4	14365	8
U1S-24-06-2021	104635	16370	15.64	14545	6744	6.45	6678	6.38
U1S-27-05-2021	113895	25110	22.05	24087	12660	11.12	12315	10.81
U1S-28-07-2021	109828	18565	16.9	17259	8191	7.46	8068	7.35
U2C-06-08-2021	189915	31675	16.68	27914	10175	5.36	9569	5.04
U2C-08-07-2021	141364	24017	16.99	21897	10077	7.13	10023	7.09
U2C-10-06-2021	160672	23982	14.93	21004	7909	4.92	7850	4.89
U2C-13-05-2021	93012	18038	19.39	15992	7357	7.91	7336	7.89
U2C-15-04-2021	103184	20195	19.57	18366	8267	8.01	8063	7.81
