sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
U2C-24-06-2021	114218	17202	15.06	13354	3400	2.98	3384	2.96
U2C-27-05-2021	95712	18855	19.7	17522	8427	8.8	8363	8.74
U2C-28-07-2021	105040	20089	19.13	19032	8844	8.42	8791	8.37
U2N-06-08-2021	175228	38703	22.09	35851	17132	9.78	16874	9.63
U2N-08-07-2021	134021	25263	18.85	23208	11304	8.43	11184	8.34
U2N-10-06-2021	143929	22657	15.74	20984	8925	6.2	8905	6.19
U2N-13-05-2021	100360	17868	17.8	15241	5401	5.38	5366	5.35
U2N-15-04-2021	130879	25739	19.67	23458	11168	8.53	10569	8.08
U2N-24-06-2021	117252	21857	18.64	19832	8657	7.38	8380	7.15
U2N-27-05-2021	131009	22161	16.92	19081	7107	5.42	7102	5.42
U2N-28-07-2021	2232	164	7.35	147	17	0.76	17	0.76
U2S-06-08-2021	144331	28198	19.54	26237	12882	8.93	12603	8.73
U2S-08-07-2021	102658	16535	16.11	15251	6591	6.42	6587	6.42
U2S-10-06-2021	95117	18800	19.77	17996	8006	8.42	7985	8.39
U2S-13-05-2021	62656	3657	5.84	3272	1271	2.03	1271	2.03
U2S-15-04-2021	168564	32713	19.41	31309	14908	8.84	13788	8.18
U2S-24-06-2021	144276	24883	17.25	23358	8704	6.03	8391	5.82
U2S-27-05-2021	104649	18734	17.9	17113	8121	7.76	8090	7.73
U2S-28-07-2021	132627	22790	17.18	21835	9587	7.23	9004	6.79
